,bullishness,fract_negative,fract_positive,n_negative,n_positive,n_token,rating,style
192,0.0924,0.05084745762711865,0.15254237288135594,3,9,59,4.1,American Pale Lager
193,0.0142,0.06060606060606061,0.07575757575757576,4,5,66,4.75,American Pale Lager
194,0.0337,0.011560693641618497,0.046242774566473986,2,8,173,4.37,American Pale Lager
195,0.042,0.01875,0.0625,3,10,160,4.12,American Pale Lager
196,0.0476,0.025,0.075,1,3,40,4.26,American Pale Lager
197,0.062,0.016260162601626018,0.08130081300813008,2,10,123,4.89,American Pale Lager
198,0.1861,0.047619047619047616,0.2619047619047619,2,11,42,4.53,American Pale Lager
199,0.0465,0.0,0.047619047619047616,0,1,21,4.5,American Pale Lager
200,-0.0087,0.02654867256637168,0.017699115044247787,3,2,113,4.83,American Pale Lager
201,0.0,0.06666666666666667,0.06666666666666667,3,3,45,3.0,American Pale Lager
202,0.0,0.0,0.0,0,0,47,4.16,American Pale Lager
203,0.126,0.0,0.13432835820895522,0,9,67,4.17,American Pale Lager
204,0.0418,0.0379746835443038,0.08227848101265822,6,13,158,4.32,American Pale Lager
205,0.0606,0.024,0.088,3,11,125,4.5,American Pale Lager
206,0.0572,0.02,0.08,1,4,50,4.46,American Pale Lager
207,0.0396,0.01020408163265306,0.05102040816326531,1,5,98,3.75,American Pale Lager
208,0.0182,0.006172839506172839,0.024691358024691357,1,4,162,3.68,American Pale Lager
209,0.078,0.05714285714285714,0.14285714285714285,2,5,35,3.49,American Pale Lager
210,0.0599,0.0125,0.075,1,6,80,4.09,American Pale Lager
211,0.0185,0.033816425120772944,0.05314009661835749,7,11,207,4.5,American Pale Lager
212,0.022,0.011235955056179775,0.033707865168539325,1,3,89,4.3,American Pale Lager
213,0.0579,0.0,0.059602649006622516,0,9,151,3.98,American Pale Lager
214,0.0822,0.0,0.08571428571428572,0,6,70,4.6,American Pale Lager
215,0.0267,0.027777777777777776,0.05555555555555555,3,6,108,4.23,American Pale Lager
216,0.087,0.0,0.09090909090909091,0,2,22,4.03,American Pale Lager
217,0.0148,0.0,0.014925373134328358,0,1,67,4.18,American Pale Lager
218,0.0202,0.031578947368421054,0.05263157894736842,3,5,95,4.22,American Pale Lager
219,0.0554,0.005208333333333333,0.0625,1,12,192,4.43,American Pale Lager
220,0.1382,0.0,0.14814814814814814,0,4,27,4.03,American Pale Lager
221,0.0667,0.0,0.06896551724137931,0,4,58,4.47,American Pale Lager
222,0.0,0.0,0.0,0,0,23,4.58,American Pale Lager
223,0.0521,0.02185792349726776,0.07650273224043716,4,14,183,4.52,American Pale Lager
224,-0.0274,0.05714285714285714,0.02857142857142857,2,1,35,4.21,American Pale Lager
225,0.0308,0.0,0.03125,0,1,32,3.87,American Pale Lager
226,0.0577,0.012658227848101266,0.07278481012658228,4,23,316,4.53,American Pale Lager
227,0.0308,0.0,0.03125,0,2,64,4.1,American Pale Lager
228,0.0421,0.03333333333333333,0.07777777777777778,3,7,90,4.52,American Pale Lager
229,-0.0377,0.08,0.04,2,1,25,4.86,American Pale Lager
230,-0.0274,0.027777777777777776,0.0,1,0,36,4.51,American Pale Lager
231,0.0,0.07692307692307693,0.07692307692307693,3,3,39,4.73,American Pale Lager
232,0.0392,0.041666666666666664,0.08333333333333333,1,2,24,3.25,American Pale Lager
233,0.0773,0.004484304932735426,0.08520179372197309,1,19,223,3.88,American Pale Lager
234,0.0984,0.0,0.10344827586206896,0,3,29,4.18,American Pale Lager
235,-0.0278,0.028169014084507043,0.0,2,0,71,4.0,American Pale Lager
236,-0.007,0.043478260869565216,0.036231884057971016,6,5,138,3.95,American Pale Lager
237,0.0417,0.021739130434782608,0.06521739130434782,1,3,46,4.21,American Pale Lager
238,0.0,0.027777777777777776,0.027777777777777776,3,3,108,3.5,American Pale Lager
239,0.0924,0.0,0.0967741935483871,0,3,31,4.19,American Pale Lager
240,0.0441,0.01834862385321101,0.06422018348623854,2,7,109,4.24,American Pale Lager
241,0.0772,0.007352941176470588,0.08823529411764706,1,12,136,4.21,American Pale Lager
242,0.0655,0.0,0.06766917293233082,0,9,133,4.59,American Pale Lager
243,0.006,0.018292682926829267,0.024390243902439025,3,4,164,4.31,American Pale Lager
244,0.0667,0.03571428571428571,0.10714285714285714,2,6,56,4.27,American Pale Lager
245,0.1178,0.0,0.125,0,7,56,4.32,American Pale Lager
246,0.0548,0.014285714285714285,0.07142857142857142,1,5,70,4.18,American Pale Lager
247,0.0157,0.03278688524590164,0.04918032786885246,4,6,122,3.88,American Pale Lager
